,Unnamed: 0,survived,pclass,age,sibsp,parch,fare,adult_male,alone,sex_female,embarked_C,embarked_Q,embarked_S,class_First,class_Second,class_Third,who_child,who_man,who_woman,deck_A,deck_B,deck_C,deck_D,deck_E,deck_F,deck_G,embark_town_Cherbourg,embark_town_Queenstown,embark_town_Southampton,alive
255,255,1,3,29.0,0,2,15.2458,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True
257,257,1,1,30.0,0,0,86.5,False,True,True,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True
258,258,1,1,35.0,0,0,512.3292,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
259,259,1,2,50.0,0,1,26.0,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
261,261,1,3,3.0,4,2,31.3875,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True
262,262,0,1,52.0,1,1,79.65,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
263,263,0,1,40.0,0,0,0.0,True,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
265,265,0,2,36.0,0,0,10.5,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
266,266,0,3,16.0,4,1,39.6875,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
267,267,1,3,25.0,1,0,7.775,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True
268,268,1,1,58.0,0,1,153.4625,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True
269,269,1,1,35.0,0,0,135.6333,False,True,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True
271,271,1,3,25.0,0,0,0.0,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True
272,272,1,2,41.0,0,1,19.5,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
273,273,0,1,37.0,0,1,29.7,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
275,275,1,1,63.0,1,0,77.9583,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True
276,276,0,3,45.0,0,0,7.75,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
278,278,0,3,7.0,4,1,29.125,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
279,279,1,3,35.0,1,1,20.25,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True
280,280,0,3,65.0,0,0,7.75,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
281,281,0,3,28.0,0,0,7.8542,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
282,282,0,3,16.0,0,0,9.5,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
283,283,1,3,19.0,0,0,8.05,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True
285,285,0,3,33.0,0,0,8.6625,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
286,286,1,3,30.0,0,0,9.5,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True
287,287,0,3,22.0,0,0,7.8958,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
288,288,1,2,42.0,0,0,13.0,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True
289,289,1,3,22.0,0,0,7.75,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True
290,290,1,1,26.0,0,0,78.85,False,True,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
291,291,1,1,19.0,1,0,91.0792,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True
292,292,0,2,36.0,0,0,12.875,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
293,293,0,3,24.0,0,0,8.85,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
294,294,0,3,24.0,0,0,7.8958,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
296,296,0,3,23.5,0,0,7.2292,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
297,297,0,1,2.0,1,2,151.55,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
299,299,1,1,50.0,0,1,247.5208,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True
302,302,0,3,19.0,0,0,0.0,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
305,305,1,1,0.92,1,2,151.55,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True
307,307,1,1,17.0,1,0,108.9,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True
308,308,0,2,30.0,1,0,24.0,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
309,309,1,1,30.0,0,0,56.9292,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
310,310,1,1,24.0,0,0,83.1583,False,True,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True
311,311,1,1,18.0,2,2,262.375,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True
312,312,0,2,26.0,1,1,26.0,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
313,313,0,3,28.0,0,0,7.8958,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
314,314,0,2,43.0,1,1,26.25,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
315,315,1,3,26.0,0,0,7.8542,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True
316,316,1,2,24.0,1,0,26.0,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
317,317,0,2,54.0,0,0,14.0,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
318,318,1,1,31.0,0,2,164.8667,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True
319,319,1,1,40.0,1,1,134.5,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
320,320,0,3,22.0,0,0,7.25,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
321,321,0,3,27.0,0,0,7.8958,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
322,322,1,2,30.0,0,0,12.35,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True
323,323,1,2,22.0,1,1,29.0,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
325,325,1,1,36.0,0,0,135.6333,False,True,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True
326,326,0,3,61.0,0,0,6.2375,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
327,327,1,2,36.0,0,0,13.0,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True
328,328,1,3,31.0,1,1,20.525,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True
329,329,1,1,16.0,0,1,57.9792,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True
331,331,0,1,45.5,0,0,28.5,True,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
332,332,0,1,38.0,0,1,153.4625,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
333,333,0,3,16.0,2,0,18.0,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
336,336,0,1,29.0,1,0,66.6,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
337,337,1,1,41.0,0,0,134.5,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
338,338,1,3,45.0,0,0,8.05,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True
339,339,0,1,45.0,0,0,35.5,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
340,340,1,2,2.0,1,1,26.0,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True
341,341,1,1,24.0,3,2,263.0,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True
342,342,0,2,28.0,0,0,13.0,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
343,343,0,2,25.0,0,0,13.0,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
344,344,0,2,36.0,0,0,13.0,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
345,345,1,2,24.0,0,0,13.0,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True
346,346,1,2,40.0,0,0,13.0,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
348,348,1,3,3.0,1,1,15.9,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True
349,349,0,3,42.0,0,0,8.6625,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
350,350,0,3,23.0,0,0,9.225,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
352,352,0,3,15.0,1,1,7.2292,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
353,353,0,3,25.0,1,0,17.8,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
355,355,0,3,28.0,0,0,9.5,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
356,356,1,1,22.0,0,1,55.0,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True
357,357,0,2,38.0,0,0,13.0,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
360,360,0,3,40.0,1,4,27.9,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
361,361,0,2,29.0,1,0,27.7208,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
362,362,0,3,45.0,0,1,14.4542,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
363,363,0,3,35.0,0,0,7.05,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
365,365,0,3,30.0,0,0,7.25,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
366,366,1,1,60.0,1,0,75.25,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
369,369,1,1,24.0,0,0,69.3,False,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True
370,370,1,1,25.0,1,0,55.4417,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True
371,371,0,3,18.0,1,0,6.4958,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
372,372,0,3,19.0,0,0,8.05,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
373,373,0,1,22.0,0,0,135.6333,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
374,374,0,3,3.0,3,1,21.075,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
376,376,1,3,22.0,0,0,7.25,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True
377,377,0,1,27.0,0,2,211.5,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
378,378,0,3,20.0,0,0,4.0125,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
379,379,0,3,19.0,0,0,7.775,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
380,380,1,1,42.0,0,0,227.525,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
381,381,1,3,1.0,0,2,15.7417,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True
382,382,0,3,32.0,0,0,7.925,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
383,383,1,1,35.0,1,0,52.0,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
385,385,0,2,18.0,0,0,73.5,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
386,386,0,3,1.0,5,2,46.9,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
387,387,1,2,36.0,0,0,13.0,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
389,389,1,2,17.0,0,0,12.0,False,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
390,390,1,1,36.0,1,2,120.0,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True
391,391,1,3,21.0,0,0,7.7958,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True
392,392,0,3,28.0,2,0,7.925,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
393,393,1,1,23.0,1,0,113.275,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
394,394,1,3,24.0,0,2,16.7,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True
395,395,0,3,22.0,0,0,7.7958,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
396,396,0,3,31.0,0,0,7.8542,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
397,397,0,2,46.0,0,0,26.0,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
398,398,0,2,23.0,0,0,10.5,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
399,399,1,2,28.0,0,0,12.65,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
400,400,1,3,39.0,0,0,7.925,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True
401,401,0,3,26.0,0,0,8.05,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
402,402,0,3,21.0,1,0,9.825,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
403,403,0,3,28.0,1,0,15.85,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
404,404,0,3,20.0,0,0,8.6625,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
405,405,0,2,34.0,1,0,21.0,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
406,406,0,3,51.0,0,0,7.75,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
407,407,1,2,3.0,1,1,18.75,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
408,408,0,3,21.0,0,0,7.775,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
412,412,1,1,33.0,1,0,90.0,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True
414,414,1,3,44.0,0,0,7.925,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True
416,416,1,2,34.0,1,1,32.5,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
417,417,1,2,18.0,0,2,13.0,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
418,418,0,2,30.0,0,0,13.0,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
419,419,0,3,10.0,0,2,24.15,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
421,421,0,3,21.0,0,0,7.7333,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
422,422,0,3,29.0,0,0,7.875,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
423,423,0,3,28.0,1,1,14.4,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
424,424,0,3,18.0,1,1,20.2125,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
426,426,1,2,28.0,1,0,26.0,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
427,427,1,2,19.0,0,0,26.0,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
429,429,1,3,32.0,0,0,8.05,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True
430,430,1,1,28.0,0,0,26.55,True,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True
432,432,1,2,42.0,1,0,26.0,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
433,433,0,3,17.0,0,0,7.125,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
434,434,0,1,50.0,1,0,55.9,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
435,435,1,1,14.0,1,2,120.0,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True
436,436,0,3,21.0,2,2,34.375,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
437,437,1,2,24.0,2,3,18.75,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
438,438,0,1,64.0,1,4,263.0,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
439,439,0,2,31.0,0,0,10.5,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
440,440,1,2,45.0,1,1,26.25,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
441,441,0,3,20.0,0,0,9.5,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
442,442,0,3,25.0,1,0,7.775,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
443,443,1,2,28.0,0,0,13.0,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
445,445,1,1,4.0,0,2,81.8583,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True
446,446,1,2,13.0,0,1,19.5,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
447,447,1,1,34.0,0,0,26.55,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True
448,448,1,3,5.0,2,1,19.2583,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True
449,449,1,1,52.0,0,0,30.5,True,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True
450,450,0,2,36.0,1,2,27.75,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
452,452,0,1,30.0,0,0,27.75,True,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
453,453,1,1,49.0,1,0,89.1042,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True
455,455,1,3,29.0,0,0,7.8958,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True
456,456,0,1,65.0,0,0,26.55,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
458,458,1,2,50.0,0,0,10.5,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
460,460,1,1,48.0,0,0,26.55,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True
461,461,0,3,34.0,0,0,8.05,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
462,462,0,1,47.0,0,0,38.5,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
463,463,0,2,48.0,0,0,13.0,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
465,465,0,3,38.0,0,0,7.05,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
467,467,0,1,56.0,0,0,26.55,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
469,469,1,3,0.75,2,1,19.2583,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True
471,471,0,3,38.0,0,0,8.6625,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
472,472,1,2,33.0,1,2,27.75,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
473,473,1,2,23.0,0,0,13.7917,False,True,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
474,474,0,3,22.0,0,0,9.8375,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
476,476,0,2,34.0,1,0,21.0,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
477,477,0,3,29.0,1,0,7.0458,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
478,478,0,3,22.0,0,0,7.5208,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
479,479,1,3,2.0,0,1,12.2875,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True
480,480,0,3,9.0,5,2,46.9,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
482,482,0,3,50.0,0,0,8.05,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
483,483,1,3,63.0,0,0,9.5875,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True
484,484,1,1,25.0,1,0,91.0792,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True
486,486,1,1,35.0,1,0,90.0,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True
487,487,0,1,58.0,0,0,29.7,True,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
488,488,0,3,30.0,0,0,8.05,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
489,489,1,3,9.0,1,1,15.9,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True
491,491,0,3,21.0,0,0,7.25,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
492,492,0,1,55.0,0,0,30.5,True,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
493,493,0,1,71.0,0,0,49.5042,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
494,494,0,3,21.0,0,0,8.05,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
496,496,1,1,54.0,1,0,78.2667,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
498,498,0,1,25.0,1,2,151.55,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
499,499,0,3,24.0,0,0,7.7958,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
500,500,0,3,17.0,0,0,8.6625,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
501,501,0,3,21.0,0,0,7.75,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
503,503,0,3,37.0,0,0,9.5875,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
504,504,1,1,16.0,0,0,86.5,False,True,True,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True
505,505,0,1,18.0,1,0,108.9,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
506,506,1,2,33.0,0,2,26.0,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
508,508,0,3,28.0,0,0,22.525,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
509,509,1,3,26.0,0,0,56.4958,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True
510,510,1,3,29.0,0,0,7.75,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True
512,512,1,1,36.0,0,0,26.2875,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True
513,513,1,1,54.0,1,0,59.4,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
514,514,0,3,24.0,0,0,7.4958,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
515,515,0,1,47.0,0,0,34.0208,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
516,516,1,2,34.0,0,0,10.5,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True
518,518,1,2,36.0,1,0,26.0,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
519,519,0,3,32.0,0,0,7.8958,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
